City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust-nera,64.5667,143.2,57.11,49,82,3.27,RU,1690506654
1,udachny,66.4167,112.4,71.46,40,100,5.26,RU,1690506655
2,sogndal,61.2283,7.1003,55.78,100,100,0.0,NO,1690506655
3,ushuaia,-54.8,-68.3,31.66,55,0,5.75,AR,1690506656
4,invercargill,-46.4,168.35,49.01,78,97,7.0,NZ,1690506656
5,bilibino,68.0546,166.4372,55.87,59,100,6.33,RU,1690506657
6,benghazi,32.1167,20.0667,81.19,68,0,13.44,LY,1690506657
7,yellowknife,62.456,-114.3525,75.56,31,100,8.01,CA,1690506648
8,nagqu,31.5,92.0,40.91,80,100,2.82,CN,1690506658
9,lijiang,26.8688,100.2207,63.63,88,100,3.0,CN,1690506658
10,kodiak,57.79,-152.4072,54.91,88,100,10.36,US,1690506659
11,sarkand,45.41,79.9186,70.34,66,100,8.99,KZ,1690506659
12,anadyr,64.75,177.4833,55.9,82,75,11.01,RU,1690506660
13,adamstown,-25.066,-130.1015,67.32,60,10,2.8,PN,1690506660
14,puerto ayora,-0.7393,-90.3518,76.55,92,38,5.99,EC,1690506660
15,vadso,70.0744,29.7487,52.68,93,100,5.75,NO,1690506661
16,iqaluit,63.7506,-68.5145,37.38,85,87,8.03,CA,1690506661
17,hasaki,35.7333,140.8333,93.29,71,1,11.52,JP,1690506662
18,jonuta,18.0833,-92.1333,83.26,71,100,8.14,MX,1690506663
19,manokwari,-0.8667,134.0833,82.54,71,94,0.89,ID,1690506663
20,ayancik,41.9447,34.5861,70.9,79,17,35.39,TR,1690506664
21,bafq,31.6128,55.4107,87.73,18,51,2.17,IR,1690506664
22,timbuktu,16.7735,-3.0074,86.5,49,100,17.4,ML,1690506664
23,acarau,-2.8856,-40.12,79.18,84,5,16.49,BR,1690506665
24,paka,4.6374,103.4368,80.04,85,100,5.53,MY,1690506666
25,port saint john's,-31.6229,29.5448,61.5,89,0,7.29,ZA,1690506667
26,grytviken,-54.2811,-36.5092,26.4,82,100,10.89,GS,1690506667
27,college,64.8569,-147.8028,83.59,49,75,10.36,US,1690506667
28,olonkinbyen,70.9221,-8.7187,40.78,89,100,12.57,SJ,1690506668
29,port-aux-francais,-49.35,70.2167,40.71,89,100,20.58,TF,1690506668
30,aberdeen,57.1437,-2.0981,59.65,96,100,3.44,GB,1690506376
